Model,TBS2104;
Firmware Version,v1,26,0;
;
Point Format,Y;
Horizontal Units,S;
Horizontal Scale,0,0004;
Sample Interval,3,2e-06;
Filter Frequency,1e+08;
Record Length,2000;
Gating,0,0% to 100,0%;
Probe Attenuation,1;
Vertical Units,V;
Vertical Offset,0;
Vertical Scale,0,2;
Label,;
Tiempo (ms);Voltaje (V)
-1,9;-0,00999999
-1,9;-0,00999999
-1,9;-0,02
-1,89;-0,00999999
-1,89;-0,00999999
-1,89;-0,02
-1,89;-0,00999999
-1,88;-0,02
-1,88;-0,02
-1,88;-0,00999999
-1,87;-0,02
-1,87;-0,02
-1,87;-0,00999999
-1,86;-0,00999999
-1,86;-0,00999999
-1,86;-0,02
-1,85;-0,02
-1,85;-0,00999999
-1,85;-0,00999999
-1,84;-0,00999999
-1,84;-0,00999999
-1,84;-0,00999999
-1,83;-0,00999999
-1,83;-0,00999999
-1,83;-0,00999999
-1,82;-0,00999999
-1,82;-0,00999999
-1,82;-0,00999999
-1,81;-0,00999999
-1,81;-0,02
-1,81;-0,00999999
-1,81;-0,00999999
-1,8;-0,02
-1,8;-0,00999999
-1,8;-0,02
-1,79;-0,00999999
-1,79;-0,00999999
-1,79;-0,00999999
-1,78;-0,00999999
-1,78;-0,02
-1,78;-0,00999999
-1,77;-0,00999999
-1,77;-0,00999999
-1,77;-0,00999999
-1,76;-0,00999999
-1,76;-0,00999999
-1,76;-0,00999999
-1,75;-0,02
-1,75;-0,00999999
-1,75;-0,02
-1,74;-0,02
-1,74;-0,02
-1,74;-0,02
-1,73;-0,02
-1,73;-0,02
-1,73;-0,00999999
-1,73;-0,02
-1,72;-0,02
-1,72;-0,00999999
-1,72;-0,00999999
-1,71;-0,02
-1,71;-0,00999999
-1,71;-0,00999999
-1,7;-0,02
-1,7;-0,00999999
-1,7;-0,02
-1,69;-0,02
-1,69;-0,00999999
-1,69;-0,02
-1,68;-0,02
-1,68;-0,00999999
-1,68;-0,02
-1,67;-0,02
-1,67;-0,00999999
-1,67;-0,02
-1,66;-0,02
-1,66;-0,00999999
-1,66;-0,02
-1,65;-0,00999999
-1,65;-0,02
-1,65;-0,02
-1,65;-0,02
-1,64;-0,00999999
-1,64;-0,02
-1,64;-0,02
-1,63;-0,02
-1,63;-0,02
-1,63;-0,02
-1,62;-0,02
-1,62;-0,00999999
-1,62;-0,00999999
-1,61;-0,00999999
-1,61;-0,02
-1,61;-0,00999999
-1,6;-0,00999999
-1,6;-0,02
-1,6;-0,02
-1,59;-0,02
-1,59;-0,02
-1,59;-0,02
-1,58;-0,02
-1,58;-0,02
-1,58;-0,00999999
-1,57;-0,00999999
-1,57;-0,00999999
-1,57;-0,02
-1,57;-0,00999999
-1,56;-0,02
-1,56;-0,00999999
-1,56;-0,02
-1,55;-0,02
-1,55;-0,02
-1,55;-0,02
-1,54;-0,02
-1,54;-0,02
-1,54;-0,00999999
-1,53;-0,00999999
-1,53;-0,02
-1,53;-0,00999999
-1,52;-0,02
-1,52;-0,02
-1,52;-0,00999999
-1,51;-0,00999999
-1,51;-0,02
-1,51;-0,02
-1,5;-0,00999999
-1,5;-0,00999999
-1,5;-0,02
-1,49;-0,02
-1,49;-0,00999999
-1,49;-0,00999999
-1,49;-0,02
-1,48;-0,00999999
-1,48;-0,02
-1,48;-0,02
-1,47;-0,02
-1,47;-0,00999999
-1,47;-0,00999999
-1,46;-0,02
-1,46;-0,02
-1,46;-0,02
-1,45;-0,02
-1,45;-0,02
-1,45;-0,02
-1,44;-0,00999999
-1,44;-0,00999999
-1,44;-0,02
-1,43;-0,00999999
-1,43;-0,00999999
-1,43;-0,00999999
-1,42;-0,00999999
-1,42;-0,00999999
-1,42;-0,00999999
-1,41;-0,02
-1,41;-0,00999999
-1,41;-0,00999999
-1,41;-0,00999999
-1,4;-0,00999999
-1,4;-0,00999999
-1,4;-0,02
-1,39;-0,00999999
-1,39;-0,00999999
-1,39;-0,00999999
-1,38;-0,00999999
-1,38;-0,00999999
-1,38;-0,00999999
-1,37;-0,00999999
-1,37;-0,00999999
-1,37;-0,02
-1,36;-0,00999999
-1,36;-0,02
-1,36;-0,02
-1,35;-0,00999999
-1,35;-0,02
-1,35;-0,02
-1,34;-0,00999999
-1,34;-0,00999999
-1,34;-0,02
-1,33;-0,02
-1,33;-0,00999999
-1,33;-0,02
-1,33;-0,02
-1,32;-0,00999999
-1,32;-0,02
-1,32;-0,02
-1,31;-0,02
-1,31;-0,00999999
-1,31;-0,02
-1,3;-0,02
-1,3;-0,00999999
-1,3;-0,02
-1,29;-0,02
-1,29;-0,00999999
-1,29;-0,00999999
-1,28;-0,02
-1,28;-0,00999999
-1,28;-0,02
-1,27;-0,02
-1,27;-0,00999999
-1,27;-0,00999999
-1,26;-0,02
-1,26;-0,00999999
-1,26;-0,00999999
-1,25;-0,00999999
-1,25;-0,00999999
-1,25;-0,02
-1,25;-0,00999999
-1,24;-0,00999999
-1,24;-0,02
-1,24;-0,00999999
-1,23;-0,02
-1,23;-0,00999999
-1,23;-0,00999999
-1,22;-0,02
-1,22;-0,00999999
-1,22;-0,00999999
-1,21;-0,02
-1,21;-0,00999999
-1,21;-0,02
-1,2;-0,00999999
-1,2;-0,00999999
-1,2;-0,00999999
-1,19;-0,02
-1,19;-0,02
-1,19;-0,00999999
-1,18;-0,00999999
-1,18;-0,02
-1,18;-0,02
-1,17;-0,00999999
-1,17;-0,00999999
-1,17;-0,00999999
-1,17;-0,02
-1,16;-0,02
-1,16;-0,00999999
-1,16;-0,00999999
-1,15;-0,02
-1,15;-0,00999999
-1,15;-0,00999999
-1,14;-0,02
-1,14;-0,02
-1,14;-0,02
-1,13;-0,02
-1,13;-0,00999999
-1,13;-0,00999999
-1,12;-0,02
-1,12;-0,02
-1,12;-0,02
-1,11;-0,00999999
-1,11;-0,02
-1,11;-0,02
-1,1;-0,00999999
-1,1;-0,00999999
-1,1;-0,02
-1,09;-0,00999999
-1,09;-0,00999999
-1,09;-0,00999999
-1,09;-0,00999999
-1,08;-0,02
-1,08;-0,00999999
-1,08;-0,00999999
-1,07;-0,00999999
-1,07;-0,02
-1,07;-0,00999999
-1,06;-0,00999999
-1,06;-0,00999999
-1,06;-0,00999999
-1,05;-0,02
-1,05;-0,00999999
-1,05;-0,00999999
-1,04;-0,00999999
-1,04;-0,02
-1,04;-0,00999999
-1,03;-0,00999999
-1,03;-0,00999999
-1,03;-0,02
-1,02;-0,02
-1,02;-0,00999999
-1,02;-0,02
-1,01;-0,00999999
-1,01;-0,02
-1,01;-0,00999999
-1,01;-0,02
-1;-0,02
-1;-0,00999999
-1;-0,02
-0,99;-0,00999999
-0,99;-0,02
-0,99;-0,02
-0,98;-0,02
-0,98;-0,00999999
-0,98;-0,02
-0,97;-0,00999999
-0,97;-0,00999999
-0,97;-0,00999999
-0,96;-0,00999999
-0,96;-0,00999999
-0,96;-0,02
-0,95;-0,00999999
-0,95;-0,02
-0,95;-0,00999999
-0,94;-0,02
-0,94;-0,00999999
-0,94;-0,00999999
-0,93;-0,02
-0,93;-0,02
-0,93;-0,02
-0,92;-0,02
-0,92;-0,02
-0,92;-0,00999999
-0,92;-0,00999999
-0,91;-0,02
-0,91;-0,02
-0,91;-0,00999999
-0,9;-0,00999999
-0,9;-0,00999999
-0,9;-0,02
-0,89;-0,00999999
-0,89;-0,00999999
-0,89;-0,00999999
-0,88;-0,00999999
-0,88;-0,02
-0,88;-0,00999999
-0,87;-0,00999999
-0,87;-0,00999999
-0,87;-0,02
-0,86;-0,00999999
-0,86;-0,00999999
-0,86;-0,02
-0,85;-0,00999999
-0,85;-0,02
-0,85;-0,00999999
-0,84;-0,02
-0,84;-0,02
-0,84;-0,00999999
-0,84;-0,00999999
-0,83;-0,00999999
-0,83;-0,00999999
-0,83;-0,00999999
-0,82;-0,00999999
-0,82;-0,02
-0,82;-0,02
-0,81;-0,02
-0,81;-0,00999999
-0,81;-0,02
-0,8;-0,02
-0,8;-0,02
-0,8;-0,00999999
-0,79;-0,02
-0,79;-0,00999999
-0,79;-0,00999999
-0,78;-0,02
-0,78;-0,02
-0,78;-0,02
-0,77;-0,02
-0,77;-0,02
-0,77;-0,00999999
-0,76;-0,00999999
-0,76;-0,02
-0,76;-0,00999999
-0,76;-0,02
-0,75;-0,02
-0,75;-0,00999999
-0,75;-0,02
-0,74;-0,02
-0,74;-0,00999999
-0,74;-0,00999999
-0,73;-0,02
-0,73;-0,02
-0,73;-0,00999999
-0,72;-0,00999999
-0,72;-0,00999999
-0,72;-0,00999999
-0,71;-0,02
-0,71;-0,02
-0,71;-0,00999999
-0,7;-0,00999999
-0,7;-0,00999999
-0,7;-0,02
-0,69;-0,02
-0,69;-0,00999999
-0,69;-0,00999999
-0,68;-0,00999999
-0,68;-0,00999999
-0,68;-0,00999999
-0,68;-0,00999999
-0,67;-0,00999999
-0,67;-0,00999999
-0,67;-0,00999999
-0,66;-0,02
-0,66;-0,00999999
-0,66;-0,00999999
-0,65;-0,00999999
-0,65;-0,00999999
-0,65;-0,00999999
-0,64;-0,00999999
-0,64;-0,02
-0,64;-0,02
-0,63;-0,00999999
-0,63;-0,00999999
-0,63;-0,02
-0,62;-0,00999999
-0,62;-0,02
-0,62;-0,00999999
-0,61;-0,02
-0,61;-0,00999999
-0,61;-0,02
-0,6;-0,02
-0,6;-0,02
-0,6;-0,00999999
-0,6;-0,02
-0,59;-0,00999999
-0,59;-0,02
-0,59;-0,00999999
-0,58;-0,00999999
-0,58;-0,02
-0,58;-0,02
-0,57;-0,00999999
-0,57;-0,00999999
-0,57;-0,00999999
-0,56;-0,02
-0,56;-0,00999999
-0,56;-0,02
-0,55;-0,02
-0,55;-0,00999999
-0,55;-0,02
-0,54;-0,00999999
-0,54;-0,00999999
-0,54;-0,02
-0,53;-0,02
-0,53;-0,02
-0,53;-0,00999999
-0,52;-0,00999999
-0,52;-0,02
-0,52;-0,00999999
-0,52;-0,00999999
-0,51;-0,00999999
